AVAILABLE NETWORK BASIC INFORMATION;Q00001;Mapped Network;Mapped Network;YES_NO
AVAILABLE NETWORK BASIC INFORMATION;Q00002;Network Characteristics;Including age, type, design, maintenance.;CHAR
AVAILABLE NETWORK BASIC INFORMATION;Q00003;Critical Points;MoV: sectorial assessment;CHAR
AVAILABLE NETWORK BASIC INFORMATION;Q00004;Illegal Connections;(%).MoV: sectorial assessment;ENGAGEMT
ASSESSMENT;Q00005;Good state of the infrastructure;(%).MoV: sectorial assessment;CHAR
ASSESSMENT;Q00006;Protected critical points;MoV: sectorial assessment;YES_NO
ANALYSIS OF DATA;Q0007;Data updated regularly;;YES_NO
ANALYSIS OF DATA;Q0008;Relevant data shared with defined stakeholders;MoV: procedure;YES_NO
PLANNING;Q0009;Investment plan;including relevant information;YES_NO
PLANNING;Q0010;Investment plan;including inputs from other stakeholders;YES_NO
